waiting for runs/hima_pressure_three_arm_v2_20260714/sys_lru/rep0/budget.jsonl to appear...
t=101s decoding=1 prefilling=0 queue=0 kv_free=30060 kv_active=252 retract=0
t=221s decoding=10 prefilling=1 queue=2 kv_free=28288 kv_active=982 retract=0
t=340s decoding=16 prefilling=0 queue=1 kv_free=22402 kv_active=6883 retract=0
t=461s decoding=17 prefilling=2 queue=1 kv_free=21385 kv_active=7900 retract=0
t=580s decoding=18 prefilling=1 queue=1 kv_free=19449 kv_active=9820 retract=0
t=701s decoding=17 prefilling=0 queue=0 kv_free=19548 kv_active=9705 retract=0
t=821s decoding=15 prefilling=3 queue=2 kv_free=17853 kv_active=11400 retract=0
t=941s decoding=16 prefilling=2 queue=1 kv_free=18262 kv_active=10991 retract=0
t=1061s decoding=17 prefilling=1 queue=1 kv_free=18186 kv_active=11067 retract=0
t=1181s decoding=17 prefilling=3 queue=0 kv_free=16159 kv_active=13094 retract=0
t=1301s decoding=16 prefilling=6 queue=1 kv_free=17279 kv_active=11966 retract=0
t=1421s decoding=25 prefilling=1 queue=0 kv_free=17041 kv_active=11088 retract=0
t=1541s decoding=26 prefilling=4 queue=5 kv_free=12277 kv_active=16968 retract=0
t=1661s decoding=34 prefilling=7 queue=0 kv_free=8499 kv_active=20746 retract=0
t=1781s decoding=39 prefilling=3 queue=3 kv_free=7336 kv_active=21909 retract=0
t=1901s decoding=44 prefilling=1 queue=4 kv_free=6172 kv_active=22629 retract=0
t=2021s decoding=45 prefilling=1 queue=4 kv_free=3351 kv_active=25894 retract=0
t=2141s decoding=42 prefilling=6 queue=2 kv_free=1483 kv_active=27762 retract=0
t=2261s decoding=44 prefilling=5 queue=0 kv_free=217 kv_active=29028 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
t=2346s decoding=45 prefilling=2 queue=1 kv_free=12 kv_active=29236 retract=0
